total_points,position,was_home,opponent_team,average_goals_per_90,average_assists_per_90,average_ict_per_90,average_goals_conceded_per_90,value,average_influence_per_90,average_creativity_per_90,average_threat_per_90
0,2,True,16,0.0,0.11124845488257108,3.19283065512979,1.0012360939431397,46.0,18.155747836835598,11.758961681087763,2.1137206427688504
1,4,False,7,0,0,0,0,70.0,0,0,0
1,4,True,10,0,0,0,0,69.0,0,0,0
1,4,False,3,0.0,0.0,16.714285714285715,0.0,68.0,28.28571428571429,132.42857142857144,0.0
1,4,True,9,0.0,0.0,22.846153846153847,0.0,67.0,30.461538461538467,74.76923076923077,117.6923076923077
1,4,True,2,0.0,0.0,20.482758620689655,0.0,67.0,30.41379310344828,67.3448275862069,105.51724137931035
1,4,False,14,0.0,0.0,20.948275862068964,0.0,66.0,26.379310344827587,34.758620689655174,147.41379310344828
1,4,False,4,0.0,0.0,20.7,0.0,66.0,25.5,34.2,150.0
1,4,True,18,0.0,0.0,16.81578947368421,1.1842105263157894,66.0,22.5,27.0,120.78947368421052
1,4,True,12,0.0,0.0,14.829545454545457,1.0227272727272727,66.0,19.431818181818183,24.03409090909091,106.36363636363636
1,4,False,11,0.0,0.0,13.59183673469388,0.9183673469387755,65.0,17.632653061224488,22.132653061224488,97.34693877551021
1,4,False,17,0.0,0.0,13.454545454545457,0.9090909090909091,65.0,17.454545454545453,22.181818181818183,96.36363636363636
0,4,True,16,0.0,0.0,12.869158878504676,0.8411214953271028,65.0,16.149532710280372,20.775700934579444,95.04672897196262
0,3,False,7,0,0,0,0,60.0,0,0,0
1,3,True,10,0,0,0,0,59.0,0,0,0
1,3,False,3,0,0,0.0,0,59.0,0.0,0.0,0.0
0,3,True,9,0.0,0.0,28.5,0.0,58.0,75.0,214.5,0.0
1,3,True,2,0.0,0.0,22.090909090909093,0.0,58.0,50.72727272727273,102.27272727272727,69.54545454545455
1,3,False,14,0.0,0.0,22.090909090909093,0.0,57.0,50.72727272727273,102.27272727272727,69.54545454545455
0,3,False,4,0.0,0.0,19.74193548387097,0.0,57.0,45.87096774193548,104.2258064516129,49.354838709677416
0,3,True,18,0.0,0.0,13.021276595744684,1.9148936170212767,56.0,30.25531914893617,70.27659574468085,34.46808510638298
0,3,True,12,0.0,0.0,13.021276595744684,1.9148936170212767,56.0,30.25531914893617,70.27659574468085,34.46808510638298
0,3,False,11,0.0,0.0,13.021276595744684,1.9148936170212767,56.0,30.25531914893617,70.27659574468085,34.46808510638298
